tour,selection_step,candidate,model,window,matches,brier_score,log_loss,accuracy
WTA,overall,k16-fixed-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.20304763133993098,0.5890274559035237,0.6767123287671233
WTA,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.20312285066152133,0.5888603048194143,0.678944272901044
WTA,overall,k16-rank-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.20504482885001973,0.5921290270882638,0.6695323571091166
WTA,overall,k16-rank-half0-w0.5-bof,overall_elo,1978-1982,13602,0.20312285066152133,0.5888603048194143,0.678944272901044
WTA,overall,k16-rank-half0-w0.5-bof,overall_elo,1983-1987,10585,0.20504482885001973,0.5921290270882638,0.6695323571091166
WTA,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.2080102008286359,0.6016886946824131,0.673430377885605
WTA,overall,k16-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.2062763155231291,0.5973696504347029,0.6759565422768068
WTA,overall,k16-rank-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.2080102008286359,0.6016886946824131,0.673430377885605
WTA,overall,k16-rank-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.2062763155231291,0.5973696504347029,0.6759565422768068
WTA,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.20536884559240703,0.594827026924221,0.6762240846934274
WTA,overall,k16-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.20446915621721964,0.5920926499635474,0.6729333963155408
WTA,overall,k16-rank-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.20536884559240703,0.594827026924221,0.6762240846934274
WTA,overall,k16-rank-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.20446915621721964,0.5920926499635474,0.6729333963155408
WTA,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.19914116853446834,0.5799217467907611,0.6876194677253346
WTA,overall,k24-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.2004340200011153,0.5809221503803507,0.6774681152574398
WTA,overall,k24-fixed-half0-w0.5-bof,overall_elo,1978-1982,13602,0.19914116853446834,0.5799217467907611,0.6876194677253346
WTA,overall,k24-fixed-half0-w0.5-bof,overall_elo,1983-1987,10585,0.2004340200011153,0.5809221503803507,0.6774681152574398
WTA,overall,k24-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.20353178842282688,0.59068733299778,0.6774739008969269
WTA,overall,k24-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.20137554465204913,0.5851801058639284,0.6818138875767595
WTA,overall,k24-fixed-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.20353178842282688,0.59068733299778,0.6774739008969269
WTA,overall,k24-fixed-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.20137554465204913,0.5851801058639284,0.6818138875767595
WTA,overall,k24-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.20110865112265025,0.5844069857986809,0.6823261285105131
WTA,overall,k24-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.19970745834398576,0.5802539426926666,0.6809636277751535
WTA,overall,k24-fixed-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.20110865112265025,0.5844069857986809,0.6823261285105131
WTA,overall,k24-fixed-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.19970745834398576,0.5802539426926666,0.6809636277751535
WTA,overall,k24-rank-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.19914116853446834,0.5799217467907611,0.6876194677253346
WTA,overall,k24-rank-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.20264277760312216,0.5866587803001378,0.6740670760510156
WTA,overall,k24-rank-half0-w0.5-bof,overall_elo,1978-1982,13602,0.19914116853446834,0.5799217467907611,0.6876194677253346
WTA,overall,k24-rank-half0-w0.5-bof,overall_elo,1983-1987,10585,0.20264277760312216,0.5866587803001378,0.6740670760510156
WTA,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.20353178842282688,0.59068733299778,0.6774739008969269
WTA,overall,k24-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.20243998659187126,0.5874679920184054,0.6792631081719415
WTA,overall,k24-rank-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.20353178842282688,0.59068733299778,0.6774739008969269
WTA,overall,k24-rank-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.20243998659187126,0.5874679920184054,0.6792631081719415
WTA,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.20110865112265025,0.5844069857986809,0.6823261285105131
WTA,overall,k24-rank-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.20109840015776387,0.5833705510206272,0.6786017949929145
WTA,overall,k24-rank-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.20110865112265025,0.5844069857986809,0.6823261285105131
WTA,overall,k24-rank-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.20109840015776387,0.5833705510206272,0.6786017949929145
WTA,overall,k32-fixed-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.19686523280487273,0.5749956931774269,0.6925452139391266
WTA,overall,k32-fixed-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.1995694643911157,0.5790905547120666,0.6820028341993387
WTA,overall,k32-fixed-half0-w0.5-bof,overall_elo,1978-1982,13602,0.19686523280487273,0.5749956931774269,0.6925452139391266
WTA,overall,k32-fixed-half0-w0.5-bof,overall_elo,1983-1987,10585,0.1995694643911157,0.5790905547120666,0.6820028341993387
WTA,overall,k32-fixed-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.2008783060772288,0.5840258228155021,0.6800470519041317
WTA,overall,k32-fixed-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.19949982389923193,0.5799553403740325,0.6820028341993387
WTA,overall,k32-fixed-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.2008783060772288,0.5840258228155021,0.6800470519041317
WTA,overall,k32-fixed-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.19949982389923193,0.5799553403740325,0.6820028341993387
WTA,overall,k32-fixed-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.1986297090252736,0.5782798764328915,0.6871783561240994
WTA,overall,k32-fixed-half1825-w0.5-no-bof,overall_elo,1983-1987,10585,0.19818804975006427,0.5760283197614423,0.6838923004251299
WTA,overall,k32-fixed-half1825-w0.5-bof,overall_elo,1978-1982,13602,0.1986297090252736,0.5782798764328915,0.6871783561240994
WTA,overall,k32-fixed-half1825-w0.5-bof,overall_elo,1983-1987,10585,0.19818804975006427,0.5760283197614423,0.6838923004251299
WTA,overall,k32-rank-half0-w0.5-no-bof,overall_elo,1978-1982,13602,0.19686523280487273,0.5749956931774269,0.6925452139391266
WTA,overall,k32-rank-half0-w0.5-no-bof,overall_elo,1983-1987,10585,0.20164204865226787,0.5847480857796433,0.6799244213509683
WTA,overall,k32-rank-half0-w0.5-bof,overall_elo,1978-1982,13602,0.19686523280487273,0.5749956931774269,0.6925452139391266
WTA,overall,k32-rank-half0-w0.5-bof,overall_elo,1983-1987,10585,0.20164204865226787,0.5847480857796433,0.6799244213509683
WTA,overall,k32-rank-half1095-w0.5-no-bof,overall_elo,1978-1982,13602,0.2008783060772288,0.5840258228155021,0.6800470519041317
WTA,overall,k32-rank-half1095-w0.5-no-bof,overall_elo,1983-1987,10585,0.20053687220102295,0.5822612072520599,0.6790741615493623
WTA,overall,k32-rank-half1095-w0.5-bof,overall_elo,1978-1982,13602,0.2008783060772288,0.5840258228155021,0.6800470519041317
WTA,overall,k32-rank-half1095-w0.5-bof,overall_elo,1983-1987,10585,0.20053687220102295,0.5822612072520599,0.6790741615493623
WTA,overall,k32-rank-half1825-w0.5-no-bof,overall_elo,1978-1982,13602,0.1986297090252736,0.5782798764328915,0.6871783561240994
