tour,slam,year,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,Roland Garros,2019,127,0,0.0,11,8.661417322834646,18,14.173228346456693,29,22.834645669291337,0
ATP,Roland Garros,2020,127,2,1.5748031496062993,16,12.598425196850394,28,22.04724409448819,40,31.496062992125985,0
ATP,Roland Garros,2021,127,0,0.0,5,3.937007874015748,10,7.874015748031496,19,14.960629921259843,0
ATP,Roland Garros,2022,127,4,3.1496062992125986,10,7.874015748031496,15,11.811023622047244,20,15.748031496062993,0
ATP,Roland Garros,2023,127,3,2.3622047244094486,9,7.086614173228346,16,12.598425196850394,26,20.47244094488189,0
ATP,Roland Garros,2024,127,0,0.0,6,4.724409448818897,11,8.661417322834646,24,18.89763779527559,0
ATP,Roland Garros,2025,127,2,1.5748031496062993,6,4.724409448818897,14,11.023622047244094,23,18.11023622047244,0
ATP,US Open,1988,127,0,0.0,6,4.724409448818897,12,9.448818897637794,20,15.748031496062993,0
ATP,US Open,1989,127,0,0.0,5,3.937007874015748,15,11.811023622047244,26,20.47244094488189,0
ATP,US Open,1990,127,3,2.3622047244094486,4,3.1496062992125986,9,7.086614173228346,13,10.236220472440944,0
ATP,US Open,1991,127,2,1.5748031496062993,8,6.299212598425197,9,7.086614173228346,22,17.322834645669293,0
ATP,US Open,1992,127,2,1.5748031496062993,8,6.299212598425197,11,8.661417322834646,16,12.598425196850394,0
ATP,US Open,1993,127,1,0.7874015748031497,6,4.724409448818897,15,11.811023622047244,20,15.748031496062993,0
ATP,US Open,1994,127,1,0.7874015748031497,5,3.937007874015748,8,6.299212598425197,16,12.598425196850394,0
ATP,US Open,1995,127,3,2.3622047244094486,7,5.511811023622047,13,10.236220472440944,23,18.11023622047244,0
ATP,US Open,1996,127,3,2.3622047244094486,6,4.724409448818897,12,9.448818897637794,19,14.960629921259843,0
ATP,US Open,1997,127,1,0.7874015748031497,5,3.937007874015748,13,10.236220472440944,22,17.322834645669293,0
ATP,US Open,1998,127,1,0.7874015748031497,10,7.874015748031496,19,14.960629921259843,26,20.47244094488189,0
ATP,US Open,1999,127,0,0.0,4,3.1496062992125986,14,11.023622047244094,22,17.322834645669293,0
ATP,US Open,2000,127,0,0.0,5,3.937007874015748,10,7.874015748031496,20,15.748031496062993,0
ATP,US Open,2001,127,4,3.1496062992125986,5,3.937007874015748,10,7.874015748031496,19,14.960629921259843,0
ATP,US Open,2002,127,4,3.1496062992125986,8,6.299212598425197,12,9.448818897637794,16,12.598425196850394,0
ATP,US Open,2003,127,2,1.5748031496062993,6,4.724409448818897,12,9.448818897637794,29,22.834645669291337,0
ATP,US Open,2004,127,1,0.7874015748031497,6,4.724409448818897,9,7.086614173228346,20,15.748031496062993,0
ATP,US Open,2005,127,0,0.0,7,5.511811023622047,8,6.299212598425197,22,17.322834645669293,0
ATP,US Open,2006,127,0,0.0,6,4.724409448818897,16,12.598425196850394,23,18.11023622047244,0
ATP,US Open,2007,127,1,0.7874015748031497,2,1.5748031496062993,8,6.299212598425197,27,21.25984251968504,0
ATP,US Open,2008,127,4,3.1496062992125986,6,4.724409448818897,9,7.086614173228346,29,22.834645669291337,0
ATP,US Open,2009,127,3,2.3622047244094486,7,5.511811023622047,13,10.236220472440944,17,13.385826771653543,0
ATP,US Open,2010,127,3,2.3622047244094486,6,4.724409448818897,13,10.236220472440944,24,18.89763779527559,0
ATP,US Open,2011,127,0,0.0,7,5.511811023622047,11,8.661417322834646,21,16.53543307086614,0
ATP,US Open,2012,127,6,4.724409448818897,9,7.086614173228346,12,9.448818897637794,18,14.173228346456693,0
ATP,US Open,2013,127,1,0.7874015748031497,8,6.299212598425197,11,8.661417322834646,16,12.598425196850394,0
ATP,US Open,2014,127,1,0.7874015748031497,5,3.937007874015748,9,7.086614173228346,22,17.322834645669293,0
ATP,US Open,2015,127,2,1.5748031496062993,3,2.3622047244094486,8,6.299212598425197,16,12.598425196850394,0
ATP,US Open,2016,127,0,0.0,9,7.086614173228346,13,10.236220472440944,17,13.385826771653543,0
ATP,US Open,2017,127,4,3.1496062992125986,10,7.874015748031496,13,10.236220472440944,21,16.53543307086614,0
ATP,US Open,2018,127,3,2.3622047244094486,3,2.3622047244094486,7,5.511811023622047,20,15.748031496062993,0
ATP,US Open,2019,127,1,0.7874015748031497,5,3.937007874015748,13,10.236220472440944,21,16.53543307086614,0
ATP,US Open,2020,127,3,2.3622047244094486,12,9.448818897637794,17,13.385826771653543,31,24.409448818897637,0
ATP,US Open,2021,127,1,0.7874015748031497,4,3.1496062992125986,7,5.511811023622047,30,23.62204724409449,0
ATP,US Open,2022,127,3,2.3622047244094486,7,5.511811023622047,15,11.811023622047244,23,18.11023622047244,0
ATP,US Open,2023,127,5,3.937007874015748,10,7.874015748031496,20,15.748031496062993,27,21.25984251968504,0
ATP,US Open,2024,127,2,1.5748031496062993,7,5.511811023622047,15,11.811023622047244,24,18.89763779527559,0
ATP,US Open,2025,127,0,0.0,3,2.3622047244094486,13,10.236220472440944,31,24.409448818897637,0
ATP,Wimbledon,1988,127,3,2.3622047244094486,10,7.874015748031496,19,14.960629921259843,37,29.133858267716537,0
ATP,Wimbledon,1989,127,3,2.3622047244094486,6,4.724409448818897,11,8.661417322834646,22,17.322834645669293,0
ATP,Wimbledon,1990,127,2,1.5748031496062993,7,5.511811023622047,11,8.661417322834646,21,16.53543307086614,0
ATP,Wimbledon,1991,127,0,0.0,3,2.3622047244094486,6,4.724409448818897,13,10.236220472440944,0
ATP,Wimbledon,1992,127,2,1.5748031496062993,5,3.937007874015748,7,5.511811023622047,21,16.53543307086614,0
ATP,Wimbledon,1993,127,4,3.1496062992125986,15,11.811023622047244,21,16.53543307086614,29,22.834645669291337,0
ATP,Wimbledon,1994,127,2,1.5748031496062993,4,3.1496062992125986,8,6.299212598425197,13,10.236220472440944,0
ATP,Wimbledon,1995,127,2,1.5748031496062993,6,4.724409448818897,14,11.023622047244094,24,18.89763779527559,0
ATP,Wimbledon,1996,127,6,4.724409448818897,10,7.874015748031496,19,14.960629921259843,20,15.748031496062993,0
ATP,Wimbledon,1997,127,2,1.5748031496062993,10,7.874015748031496,20,15.748031496062993,27,21.25984251968504,0
ATP,Wimbledon,1998,127,0,0.0,6,4.724409448818897,8,6.299212598425197,16,12.598425196850394,0
