tour,slam,era,entry_bucket,is_unranked,match_appearances,entrants_lt_1,pct_entrants_lt_1,entrants_lt_5,pct_entrants_lt_5,entrants_lt_10,pct_entrants_lt_10,entrants_lt_20,pct_entrants_lt_20,missing_ids
WTA,Australian Open,2010-2019,DIRECT_OR_MISSING,False,2304,3,0.13020833333333334,25,1.0850694444444444,55,2.3871527777777777,120,5.208333333333333,0
WTA,Australian Open,2010-2019,DIRECT_OR_MISSING,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,2010-2019,LL,False,3,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,2010-2019,Q,False,143,3,2.097902097902098,20,13.986013986013987,37,25.874125874125873,61,42.65734265734266,0
WTA,Australian Open,2010-2019,WC,False,82,10,12.195121951219512,20,24.390243902439025,33,40.24390243902439,46,56.09756097560975,0
WTA,Australian Open,2010-2019,WC,True,7,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Australian Open,2020-2025,DIRECT_OR_MISSING,False,1369,1,0.07304601899196493,6,0.4382761139517896,13,0.9495982468955442,51,3.7253469685902116,0
WTA,Australian Open,2020-2025,LL,False,15,0,0.0,0,0.0,2,13.333333333333334,2,13.333333333333334,0
WTA,Australian Open,2020-2025,Q,False,97,4,4.123711340206185,13,13.402061855670103,31,31.95876288659794,47,48.45360824742268,0
WTA,Australian Open,2020-2025,WC,False,43,0,0.0,9,20.930232558139537,13,30.232558139534884,20,46.51162790697674,0
WTA,Roland Garros,1988-1999,DIRECT_OR_MISSING,False,2694,0,0.0,1,0.03711952487008166,22,0.8166295471417966,113,4.194506310319228,0
WTA,Roland Garros,1988-1999,DIRECT_OR_MISSING,True,16,3,18.75,3,18.75,3,18.75,5,31.25,0
WTA,Roland Garros,1988-1999,LL,False,36,0,0.0,4,11.11111111111111,9,25.0,13,36.111111111111114,0
WTA,Roland Garros,1988-1999,LL,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,1988-1999,OTHER:SR,False,5,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,1988-1999,OTHER:SR,True,4,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,1988-1999,Q,False,163,3,1.8404907975460123,21,12.883435582822086,42,25.766871165644172,52,31.901840490797547,0
WTA,Roland Garros,1988-1999,WC,False,122,18,14.754098360655737,46,37.704918032786885,59,48.36065573770492,66,54.09836065573771,0
WTA,Roland Garros,1988-1999,WC,True,7,3,42.857142857142854,4,57.142857142857146,5,71.42857142857143,5,71.42857142857143,0
WTA,Roland Garros,2000-2009,DIRECT_OR_MISSING,False,2195,0,0.0,1,0.04555808656036447,3,0.1366742596810934,62,2.8246013667425967,0
WTA,Roland Garros,2000-2009,LL,False,16,0,0.0,0,0.0,2,12.5,5,31.25,0
WTA,Roland Garros,2000-2009,OTHER:SR,False,5,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2000-2009,OTHER:SR,True,5,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2000-2009,Q,False,207,4,1.932367149758454,31,14.97584541062802,51,24.63768115942029,96,46.3768115942029,0
WTA,Roland Garros,2000-2009,Q,True,2,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2000-2009,WC,False,108,14,12.962962962962964,41,37.96296296296296,53,49.074074074074076,67,62.03703703703704,0
WTA,Roland Garros,2000-2009,WC,True,2,1,50.0,1,50.0,1,50.0,1,50.0,0
WTA,Roland Garros,2010-2019,DIRECT_OR_MISSING,False,2316,4,0.17271157167530224,17,0.7340241796200345,37,1.5975820379965457,95,4.101899827288428,0
WTA,Roland Garros,2010-2019,DIRECT_OR_MISSING,True,1,0,0.0,0,0.0,0,0.0,0,0.0,0
WTA,Roland Garros,2010-2019,LL,False,7,0,0.0,0,0.0,1,14.285714285714286,1,14.285714285714286,0
