tour,slam,year,round,match_count
ATP,Roland Garros,1975,R64,32
ATP,Roland Garros,1975,R32,16
ATP,Roland Garros,1975,R16,8
ATP,Roland Garros,1975,QF,4
ATP,Roland Garros,1975,SF,2
ATP,Roland Garros,1975,F,1
ATP,Roland Garros,1976,R128,64
ATP,Roland Garros,1976,R64,32
ATP,Roland Garros,1976,R32,16
ATP,Roland Garros,1976,R16,8
ATP,Roland Garros,1976,QF,4
ATP,Roland Garros,1976,SF,2
ATP,Roland Garros,1976,F,1
ATP,Roland Garros,1977,R128,64
ATP,Roland Garros,1977,R64,32
ATP,Roland Garros,1977,R32,16
ATP,Roland Garros,1977,R16,8
ATP,Roland Garros,1977,QF,4
ATP,Roland Garros,1977,SF,2
ATP,Roland Garros,1977,F,1
ATP,Roland Garros,1978,R128,64
ATP,Roland Garros,1978,R64,32
ATP,Roland Garros,1978,R32,16
ATP,Roland Garros,1978,R16,8
ATP,Roland Garros,1978,QF,4
ATP,Roland Garros,1978,SF,2
ATP,Roland Garros,1978,F,1
ATP,Roland Garros,1979,R128,64
ATP,Roland Garros,1979,R64,32
ATP,Roland Garros,1979,R32,16
ATP,Roland Garros,1979,R16,8
ATP,Roland Garros,1979,QF,4
ATP,Roland Garros,1979,SF,2
ATP,Roland Garros,1979,F,1
ATP,Roland Garros,1980,R128,64
ATP,Roland Garros,1980,R64,32
ATP,Roland Garros,1980,R32,16
ATP,Roland Garros,1980,R16,8
ATP,Roland Garros,1980,QF,4
ATP,Roland Garros,1980,SF,2
ATP,Roland Garros,1980,F,1
ATP,Roland Garros,1981,R128,64
ATP,Roland Garros,1981,R64,32
ATP,Roland Garros,1981,R32,16
ATP,Roland Garros,1981,R16,8
ATP,Roland Garros,1981,QF,4
ATP,Roland Garros,1981,SF,2
ATP,Roland Garros,1981,F,1
ATP,Roland Garros,1982,R128,64
ATP,Roland Garros,1982,R64,32
ATP,Roland Garros,1982,R32,16
ATP,Roland Garros,1982,R16,8
ATP,Roland Garros,1982,QF,4
ATP,Roland Garros,1982,SF,2
ATP,Roland Garros,1982,F,1
ATP,Roland Garros,1983,R128,64
ATP,Roland Garros,1983,R64,32
ATP,Roland Garros,1983,R32,16
ATP,Roland Garros,1983,R16,8
ATP,Roland Garros,1983,QF,4
ATP,Roland Garros,1983,SF,2
ATP,Roland Garros,1983,F,1
ATP,Roland Garros,1984,R128,64
ATP,Roland Garros,1984,R64,32
ATP,Roland Garros,1984,R32,16
ATP,Roland Garros,1984,R16,8
ATP,Roland Garros,1984,QF,4
ATP,Roland Garros,1984,SF,2
ATP,Roland Garros,1984,F,1
ATP,Roland Garros,1985,R128,64
ATP,Roland Garros,1985,R64,32
ATP,Roland Garros,1985,R32,16
ATP,Roland Garros,1985,R16,8
ATP,Roland Garros,1985,QF,4
ATP,Roland Garros,1985,SF,2
ATP,Roland Garros,1985,F,1
ATP,Roland Garros,1986,R128,64
ATP,Roland Garros,1986,R64,32
ATP,Roland Garros,1986,R32,16
ATP,Roland Garros,1986,R16,8
ATP,Roland Garros,1986,QF,4
ATP,Roland Garros,1986,SF,2
ATP,Roland Garros,1986,F,1
ATP,Roland Garros,1987,R128,64
ATP,Roland Garros,1987,R64,32
ATP,Roland Garros,1987,R32,16
ATP,Roland Garros,1987,R16,8
ATP,Roland Garros,1987,QF,4
ATP,Roland Garros,1987,SF,2
ATP,Roland Garros,1987,F,1
ATP,Roland Garros,1988,R128,64
ATP,Roland Garros,1988,R64,32
ATP,Roland Garros,1988,R32,16
ATP,Roland Garros,1988,R16,8
ATP,Roland Garros,1988,QF,4
ATP,Roland Garros,1988,SF,2
ATP,Roland Garros,1988,F,1
ATP,Roland Garros,1989,R128,64
ATP,Roland Garros,1989,R64,32
ATP,Roland Garros,1989,R32,16
ATP,Roland Garros,1989,R16,8
ATP,Roland Garros,1989,QF,4
ATP,Roland Garros,1989,SF,2
ATP,Roland Garros,1989,F,1
ATP,Roland Garros,1990,R128,64
ATP,Roland Garros,1990,R64,32
ATP,Roland Garros,1990,R32,16
ATP,Roland Garros,1990,R16,8
ATP,Roland Garros,1990,QF,4
ATP,Roland Garros,1990,SF,2
ATP,Roland Garros,1990,F,1
ATP,Roland Garros,1991,R128,64
ATP,Roland Garros,1991,R64,32
ATP,Roland Garros,1991,R32,16
ATP,Roland Garros,1991,R16,8
ATP,Roland Garros,1991,QF,4
ATP,Roland Garros,1991,SF,2
ATP,Roland Garros,1991,F,1
ATP,Roland Garros,1992,R128,64
ATP,Roland Garros,1992,R64,32
ATP,Roland Garros,1992,R32,16
ATP,Roland Garros,1992,R16,8
ATP,Roland Garros,1992,QF,4
ATP,Roland Garros,1992,SF,2
ATP,Roland Garros,1992,F,1
ATP,Roland Garros,1993,R128,64
ATP,Roland Garros,1993,R64,32
ATP,Roland Garros,1993,R32,16
ATP,Roland Garros,1993,R16,8
ATP,Roland Garros,1993,QF,4
ATP,Roland Garros,1993,SF,2
ATP,Roland Garros,1993,F,1
ATP,Roland Garros,1994,R128,64
ATP,Roland Garros,1994,R64,32
ATP,Roland Garros,1994,R32,16
ATP,Roland Garros,1994,R16,8
ATP,Roland Garros,1994,QF,4
ATP,Roland Garros,1994,SF,2
ATP,Roland Garros,1994,F,1
ATP,Roland Garros,1995,R128,64
ATP,Roland Garros,1995,R64,32
ATP,Roland Garros,1995,R32,16
ATP,Roland Garros,1995,R16,8
ATP,Roland Garros,1995,QF,4
ATP,Roland Garros,1995,SF,2
ATP,Roland Garros,1995,F,1
ATP,Roland Garros,1996,R128,64
ATP,Roland Garros,1996,R64,32
ATP,Roland Garros,1996,R32,16
ATP,Roland Garros,1996,R16,8
ATP,Roland Garros,1996,QF,4
ATP,Roland Garros,1996,SF,2
ATP,Roland Garros,1996,F,1
ATP,Roland Garros,1997,R128,64
ATP,Roland Garros,1997,R64,32
ATP,Roland Garros,1997,R32,16
ATP,Roland Garros,1997,R16,8
ATP,Roland Garros,1997,QF,4
ATP,Roland Garros,1997,SF,2
ATP,Roland Garros,1997,F,1
ATP,Roland Garros,1998,R128,64
ATP,Roland Garros,1998,R64,32
ATP,Roland Garros,1998,R32,16
ATP,Roland Garros,1998,R16,8
ATP,Roland Garros,1998,QF,4
ATP,Roland Garros,1998,SF,2
ATP,Roland Garros,1998,F,1
ATP,Roland Garros,1999,R128,64
ATP,Roland Garros,1999,R64,32
ATP,Roland Garros,1999,R32,16
ATP,Roland Garros,1999,R16,8
