analysis_version,population,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1998,1998,1998,121,121,121,40.45480129489482,32,-8.454801294894821,33.43372007842547,26.446280991735538,-6.987439086689935,-1.6816525357364445,0.18815560225373912,0.5566770411666222,1,1,1,2000,4901845044158331579,0.95,33.43372007842547,33.43372007842547,26.446280991735538,26.446280991735538,-6.987439086689935,-6.987439086689935,-1.6816525357364445,-1.6816525357364445,0.18815560225373912,0.18815560225373912,0.5566770411666222,0.5566770411666222
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,1999,1999,1999,120,120,120,40.87750707745592,38,-2.877507077455917,34.06458923121327,31.666666666666668,-2.3979225645465974,-0.5688000126023425,0.19866885793123515,0.5816645481887304,1,1,1,2000,2039740509733881731,0.95,34.06458923121327,34.06458923121327,31.666666666666668,31.666666666666668,-2.3979225645465974,-2.3979225645465974,-0.5688000126023425,-0.5688000126023425,0.19866885793123515,0.19866885793123515,0.5816645481887304,0.5816645481887304
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2000,2000,2000,124,124,124,41.25498610149306,31,-10.25498610149306,33.27015008184924,25.0,-8.270150081849241,-2.0040089500828633,0.1796983024655118,0.5412688005936804,1,1,1,2000,8763307814490986911,0.95,33.27015008184924,33.27015008184924,25.0,25.0,-8.270150081849241,-8.270150081849241,-2.0040089500828633,-2.0040089500828633,0.1796983024655118,0.1796983024655118,0.5412688005936804,0.5412688005936804
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2001,2001,2001,124,124,124,39.01065453195424,27,-12.010654531954238,31.460205267705028,21.774193548387096,-9.686011719317934,-2.395469941168934,0.1667005800822021,0.5082102953587717,1,1,1,2000,14268571526272915098,0.95,31.460205267705028,31.460205267705028,21.774193548387096,21.774193548387096,-9.686011719317934,-9.686011719317934,-2.395469941168934,-2.395469941168934,0.1667005800822021,0.1667005800822021,0.5082102953587717,0.5082102953587717
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2002,2002,2002,117,117,117,39.556140510217595,38,-1.5561405102175954,33.80866710275008,32.47863247863248,-1.3300346241176029,-0.31422423962891954,0.1918805560783499,0.560703126458997,1,1,1,2000,17277623253586616488,0.95,33.80866710275008,33.80866710275008,32.47863247863248,32.47863247863248,-1.3300346241176029,-1.3300346241176029,-0.31422423962891954,-0.31422423962891954,0.1918805560783499,0.1918805560783499,0.560703126458997,0.560703126458997
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2003,2003,2003,122,122,122,39.928242869519714,29,-10.928242869519714,32.72806792583583,23.770491803278688,-8.957576122557143,-2.165901407258087,0.17253229050665364,0.5229828324464083,1,1,1,2000,11008492729396040594,0.95,32.72806792583583,32.72806792583583,23.770491803278688,23.770491803278688,-8.957576122557143,-8.957576122557143,-2.165901407258087,-2.165901407258087,0.17253229050665364,0.17253229050665364,0.5229828324464083,0.5229828324464083
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2004,2004,2004,120,120,120,38.75070856724794,41,2.2492914327520594,32.292257139373284,34.16666666666667,1.874409527293383,0.4535527612939594,0.19788232894547594,0.5777917883317614,1,1,1,2000,5563603748135163995,0.95,32.292257139373284,32.292257139373284,34.16666666666667,34.16666666666667,1.874409527293383,1.874409527293383,0.4535527612939594,0.4535527612939594,0.19788232894547594,0.19788232894547594,0.5777917883317614,0.5777917883317614
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2005,2005,2005,123,123,123,39.516250093516554,28,-11.516250093516554,32.12703259635492,22.764227642276424,-9.362804954078499,-2.299613394115657,0.16870646229578778,0.5152539024793183,1,1,1,2000,32988751169349886,0.95,32.12703259635492,32.12703259635492,22.764227642276424,22.764227642276424,-9.362804954078499,-9.362804954078499,-2.299613394115657,-2.299613394115657,0.16870646229578778,0.16870646229578778,0.5152539024793183,0.5152539024793183
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2006,2006,2006,125,125,125,38.685488133403155,36,-2.6854881334031546,30.948390506722525,28.8,-2.148390506722524,-0.5414686662947709,0.18101381887118081,0.5359162503955031,1,1,1,2000,12879063301101042728,0.95,30.948390506722525,30.948390506722525,28.8,28.8,-2.148390506722524,-2.148390506722524,-0.5414686662947709,-0.5414686662947709,0.18101381887118081,0.18101381887118081,0.5359162503955031,0.5359162503955031
slam-upsets-v1,completed_non_retirement,ATP,US Open,surface_adjusted_elo,year,2007,2007,2007,119,119,119,36.66631106658229,32,-4.6663110665822884,30.812026106371672,26.89075630252101,-3.9212698038506626,-0.9607360455567492,0.17223445918759978,0.5177280384767996,1,1,1,2000,1330344443516693009,0.95,30.812026106371672,30.812026106371672,26.89075630252101,26.89075630252101,-3.9212698038506626,-3.9212698038506626,-0.9607360455567492,-0.9607360455567492,0.17223445918759978,0.17223445918759978,0.5177280384767996,0.5177280384767996
