analysis_version,population,tour,slam,model,window_start_edition,window_end_edition,window_start_year,window_end_year,window_editions,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,bootstrap_replicates,bootstrap_seed,confidence_level,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1994:1994-W-SL-GBR-01A-1994,1998:1998-W-SL-GBR-01A-1998,1994,1998,5,634,634,634,175.03223895968333,161,-14.032238959683326,27.607608668719767,25.394321766561514,-2.213286902158253,-1.306947828733846,0.16819385294640776,0.5099259918417901,5,5,5,2000,12828399838349326615,0.95,26.729066696993204,28.556090041883287,21.25984251968504,29.430379746835445,-6.1273050021156905,1.8812610664440086,-3.6261217957493446,1.1079524938130005,0.15220319975917887,0.1850103044517593,0.4716540217763159,0.5484353602451773
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1995:1995-W-SL-GBR-01A-1995,1999:1999-W-SL-GBR-01A-1999,1995,1999,5,635,635,635,172.68967021878365,163,-9.689670218783647,27.195223656501362,25.669291338582678,-1.5259323179186846,-0.9071278077122327,0.17414107787175973,0.5250536721349215,5,5,5,2000,13593337738606131047,0.95,26.71891335738334,27.582276619758545,21.25984251968504,30.236220472440944,-6.1273050021156905,3.2430740208488174,-3.6261217957493446,1.9358371490122839,0.15220319975917887,0.1989060454276271,0.4715379127877053,0.5850737196337817
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1996:1996-W-SL-GBR-01A-1996,2000:2000-W-SL-GBR-01A-2000,1996,2000,5,635,635,635,175.49529436764647,175,-0.4952943676464656,27.63705423112543,27.559055118110237,-0.07799911301519144,-0.04609717890984212,0.1820534624459987,0.5432753268500157,5,5,5,2000,15779472625925341898,0.95,26.75789101551999,28.81305307959652,23.62204724409449,31.023622047244093,-3.6790481745038544,3.2832003589631378,-2.181653003028564,1.9570585827295905,0.16166279750991033,0.202444127382087,0.49682785553796033,0.5897227981620722
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1997:1997-W-SL-GBR-01A-1997,2001:2001-W-SL-GBR-01A-2001,1997,2001,5,635,635,635,178.4444132801718,170,-8.444413280171801,28.101482406326266,26.771653543307085,-1.3298288630191812,-0.7820230803154229,0.1819196437569998,0.5425291104225853,5,5,5,2000,15765415889245103392,0.95,27.264174313142465,28.938790499510088,22.519685039370078,31.023622047244093,-5.967121545906068,3.307463819867683,-3.4876796298697745,1.9570585827295905,0.16139516013191255,0.202444127382087,0.4953354226830991,0.5897227981620722
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1998:1998-W-SL-GBR-01A-1998,2002:2002-W-SL-GBR-01A-2002,1998,2002,5,635,635,635,179.64176343046216,161,-18.641763430462163,28.29004148511215,25.35433070866142,-2.935710776450734,-1.7217081985990614,0.17567139357173267,0.5270719848455635,5,5,5,2000,15202865512433725090,0.95,27.5687584936352,29.14904174060112,21.5748031496063,29.133858267716533,-6.5325534985149485,0.9465879705977014,-3.8356830738234686,0.559219665568416,0.15704929250346472,0.19816219636287746,0.4852204324830742,0.5797315842567842
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,1999:1999-W-SL-GBR-01A-1999,2003:2003-W-SL-GBR-01A-2003,1999,2003,5,635,635,635,180.01728966742854,161,-19.017289667428543,28.349179475185597,25.35433070866142,-2.99484876652418,-1.7547514990633506,0.17468190568260475,0.5227635394272075,5,5,5,2000,4523752428793440604,0.95,27.672864056687573,29.135645753595522,21.5748031496063,29.133858267716533,-6.650829478661826,0.9153018630029317,-3.8978335176819905,0.5398991928116749,0.15507031672520888,0.19816219636287746,0.4766035416463626,0.5790385274080769
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,2000:2000-W-SL-GBR-01A-2000,2004:2004-W-SL-GBR-01A-2004,2000,2004,5,634,634,634,180.64052073962566,163,-17.640520739625657,28.49219570025641,25.709779179810724,-2.782416520445687,-1.6224793119792833,0.17192389041303124,0.5161129057065155,5,5,5,2000,1218140067990951821,0.95,27.97142670662089,29.265709693845178,21.5748031496063,29.968454258675077,-6.650829478661826,1.568520317250588,-3.8978335176819905,0.9117646807791511,0.15507031672520888,0.18997342394090277,0.4766035416463626,0.5571299744445053
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,2001:2001-W-SL-GBR-01A-2001,2005:2005-W-SL-GBR-01A-2005,2001,2005,5,634,634,634,179.17728925772354,167,-12.177289257723544,28.261402091123585,26.340694006309146,-1.9207080848144389,-1.1250336744617988,0.1707994461827149,0.5151842619368621,5,5,5,2000,11919837426356030015,0.95,27.97142670662089,28.57332886644675,21.5748031496063,31.1216429699842,-6.650829478661826,2.8243584003247113,-3.8978335176819905,1.653409642264029,0.15507031672520888,0.18886957707860005,0.4766035416463626,0.5618308486290333
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,2002:2002-W-SL-GBR-01A-2002,2006:2006-W-SL-GBR-01A-2006,2002,2006,5,633,633,633,178.28878586250858,173,-5.2887858625085755,28.165684970380504,27.330173775671405,-0.8355111947090956,-0.48953603088862113,0.1749046396514818,0.5233433897905578,5,5,5,2000,15101835712432845464,0.95,27.97233207979775,28.478104521020143,23.186119873817034,31.4873417721519,-4.822833210892577,3.1644289291205006,-2.8301283230765004,1.8512077365132273,0.15943665761921666,0.18981165077601692,0.48394911142443636,0.5631037185111457
slam-upsets-v1,retirement_inclusive,WTA,Wimbledon,surface_adjusted_elo,2003:2003-W-SL-GBR-01A-2003,2007:2007-W-SL-GBR-01A-2007,2003,2007,5,633,633,633,175.90499744366738,169,-6.9049974436673835,27.789099122222336,26.69826224328594,-1.0908368789363956,-0.6422220165534248,0.17352149541293854,0.5205380027386328,5,5,5,2000,16276720077296439835,0.95,26.931204451424836,28.44677518877981,21.92429022082019,31.4873417721519,-5.332679135548232,3.1644289291205006,-3.1597695562874897,1.8512077365132273,0.15784303032722793,0.18981165077601692,0.48087443076232905,0.5631037185111457
