analysis_version,population,tour,slam,model,dimension,group_value,bin_index,bin_lower,bin_upper,bin_upper_inclusive,calibration_matches,mean_favorite_probability,favorite_win_rate,calibration_error
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1996,1,0.6,0.7,False,35,0.6482677077210204,0.7714285714285715,0.12316086370755108
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1996,2,0.7,0.8,False,30,0.7500375152083925,0.7666666666666667,0.01662915145827426
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1996,3,0.8,0.9,False,12,0.829971402045986,0.8333333333333334,0.0033619312873474083
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1996,4,0.9,1.0,True,10,0.9224508596204812,1.0,0.07754914037951877
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1997,0,0.5,0.6,False,45,0.5483003224482074,0.4888888888888889,-0.059411433559318494
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1997,1,0.6,0.7,False,31,0.6607912852456918,0.6774193548387096,0.01662806959301788
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1997,2,0.7,0.8,False,22,0.7442100605834654,0.8181818181818182,0.07397175759835284
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1997,3,0.8,0.9,False,19,0.8383528688685484,0.9473684210526315,0.1090155521840831
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1997,4,0.9,1.0,True,5,0.9270656209790056,1.0,0.07293437902099442
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1998,0,0.5,0.6,False,37,0.5473199797063413,0.4594594594594595,-0.08786052024688179
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1998,1,0.6,0.7,False,34,0.6473617555719096,0.6176470588235294,-0.02971469674838012
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1998,2,0.7,0.8,False,30,0.7472373543869074,0.7333333333333333,-0.013904021053574134
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1998,3,0.8,0.9,False,14,0.8359351860568188,0.9285714285714286,0.09263624251460978
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1998,4,0.9,1.0,True,3,0.9285046565099839,1.0,0.07149534349001607
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1999,0,0.5,0.6,False,39,0.5460610227145335,0.5128205128205128,-0.03324050989402072
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1999,1,0.6,0.7,False,43,0.6476302637689348,0.6744186046511628,0.026788340882227923
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1999,2,0.7,0.8,False,26,0.7458509978380737,0.8076923076923077,0.06184130985423397
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1999,3,0.8,0.9,False,15,0.8349595835211193,0.9333333333333333,0.09837374981221403
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,1999,4,0.9,1.0,True,1,0.9061177732675632,0.0,-0.9061177732675632
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2000,0,0.5,0.6,False,46,0.5472254606175573,0.5,-0.04722546061755728
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2000,1,0.6,0.7,False,36,0.6459664401948245,0.6388888888888888,-0.007077551305935681
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2000,2,0.7,0.8,False,24,0.7437108346591823,0.75,0.006289165340817693
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2000,3,0.8,0.9,False,16,0.8569340205213285,1.0,0.1430659794786715
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2000,4,0.9,1.0,True,2,0.9234329716866014,1.0,0.07656702831339857
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2001,0,0.5,0.6,False,47,0.549621956737408,0.5531914893617021,0.0035695326242941583
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2001,1,0.6,0.7,False,34,0.646587574904657,0.7647058823529411,0.11811830744828411
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2001,2,0.7,0.8,False,29,0.7534693335900053,0.8275862068965517,0.07411687330654637
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2001,3,0.8,0.9,False,13,0.840296700977807,1.0,0.15970329902219305
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2001,4,0.9,1.0,True,2,0.9069983254801605,1.0,0.09300167451983954
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2002,0,0.5,0.6,False,42,0.550811424352458,0.5952380952380952,0.04442667088563723
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2002,1,0.6,0.7,False,32,0.6411632891225004,0.59375,-0.047413289122500424
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2002,2,0.7,0.8,False,32,0.755429991720678,0.90625,0.15082000827932196
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2002,3,0.8,0.9,False,16,0.8517214865639208,0.875,0.02327851343607923
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2003,0,0.5,0.6,False,39,0.5389556672378054,0.5128205128205128,-0.02613515441729264
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2003,1,0.6,0.7,False,26,0.6529356186440978,0.6153846153846154,-0.03755100325948235
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2003,2,0.7,0.8,False,34,0.7548617170949229,0.8529411764705882,0.09807945937566531
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2003,3,0.8,0.9,False,17,0.8334660315615022,0.9411764705882353,0.10771043902673305
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2003,4,0.9,1.0,True,2,0.9166410869948864,1.0,0.08335891300511356
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2004,0,0.5,0.6,False,37,0.5507616967385932,0.4864864864864865,-0.0642752102521067
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2004,1,0.6,0.7,False,35,0.6398419476115266,0.6857142857142857,0.04587233810275915
slam-upsets-v1,completed_non_retirement,ATP,Australian Open,overall_elo,year,2004,2,0.7,0.8,False,28,0.7474663615085129,0.8571428571428571,0.10967649563434423
