analysis_version,sample,variant_label,parameter_mode,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips,ties_created,ties_removed,bootstrap_unit,bootstrap_replicates,bootstrap_seed
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,ATP,Roland Garros,2001,2025,3036,3034,3034,945.1475023354423,820,-125.14750233544225,31.15186230505742,27.027027027027025,-4.124835278030397,-5.08312306997127,0.17708420933392124,0.5293585139121528,25,25,25,30.51213751180057,31.74398045341235,25.016457655149612,29.075791794765614,-5.949469939416809,-2.2926244263431013,-7.340382423700258,-2.8209662408247325,0.17005026943219656,0.18438566167971646,0.5129255456922782,0.5461062781259974,0,0,0,tour-Slam tournament edition,2000,11659828118621442089
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,ATP,US Open,2001,2025,2992,2991,2991,927.8157361376749,806,-121.81573613767489,31.020251960470578,26.947509194249417,-4.07274276622116,-4.997659927506041,0.17805560077910404,0.5311987512893642,25,25,25,30.37074228208938,31.69071293856796,25.092602145201226,28.817267909723334,-5.616491121500686,-2.413601726133297,-6.899550239218881,-2.957879394214202,0.1716599167535644,0.18426989255114445,0.5166057258539666,0.5454518868202314,0,0,0,tour-Slam tournament edition,2000,10268048765456894458
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,ATP,Wimbledon,2001,2025,2933,2933,2933,954.3254039372794,804,-150.32540393727936,32.53751803400203,27.41220593249233,-5.125312101509695,-6.113699693070875,0.183445398770202,0.5462922583311969,24,24,24,31.907617640039494,33.201645195668,25.888971611304033,28.896153713655774,-6.462261482150336,-4.016475040135435,-7.6967093646657565,-4.778332832692329,0.17697600165961042,0.18953907965836228,0.531256768003084,0.5600505808112654,0,0,0,tour-Slam tournament edition,2000,918803405532022797
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,WTA,Australian Open,2007,2025,2382,2382,2382,650.5809691450413,690,39.41903085495869,27.312383255459334,28.967254408060455,1.6548711526011206,1.8981992106656858,0.18735984307323328,0.5521508246939042,19,19,19,26.576017134044708,28.089302108548843,27.3341711783448,30.7471663114502,0.1555693179012021,3.367010509278682,0.1788193770485689,3.846113918706917,0.17900003356214414,0.19674786499304653,0.5320240042394617,0.5745906669416437,0,0,0,tour-Slam tournament edition,2000,14932405257650243291
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,WTA,Roland Garros,2007,2025,2368,2368,2368,678.4226680504917,711,32.577331949508334,28.649605914294412,30.02533783783784,1.3757319235434262,1.5437361986482034,0.19224126310871528,0.5642973886820751,19,19,19,27.95886217834569,29.327728321616444,28.246679809089024,32.15040135192226,-0.31168880280641953,3.311203657793872,-0.34931811165149634,3.7123098262362326,0.1842942209658492,0.2006580982947442,0.5441403447169766,0.5853764625679565,0,0,0,tour-Slam tournament edition,2000,503807824941581809
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,WTA,US Open,2007,2025,2375,2375,2375,663.1936437274737,677,13.806356272526273,27.923942893788368,28.505263157894735,0.5813202641063694,0.6603802306039527,0.18654515375744257,0.5529388755921089,19,19,19,27.09966463618119,28.716230357629254,27.380360118177304,29.898757295359466,-0.6138750482506463,1.949719682676841,-0.6952726124918985,2.2274561822433774,0.1806967117606381,0.19280372292353556,0.5373081764512311,0.56898916428296,0,0,0,tour-Slam tournament edition,2000,12876458459749079702
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_current,fixed_primary,WTA,Wimbledon,2007,2025,2242,2242,2242,668.8619884419818,686,17.138011558018206,29.83327334709999,30.597680642283674,0.7644072951836844,0.8221501402047833,0.19569670368779635,0.5742403102048195,18,18,18,28.902637137681698,30.66298898584093,28.60946757916992,32.51459736330562,-1.1632809426278155,2.698337752602386,-1.2501127451642753,2.916331328520143,0.1874088642789192,0.20355179867874248,0.5541033796414825,0.5931677866160447,0,0,0,tour-Slam tournament edition,2000,12687834473040386207
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,ATP,Australian Open,2001,2025,2958,2958,2958,909.5793312546921,777,-132.57933125469208,30.749808358846927,26.267748478701826,-4.4820598801451,-5.48151926244019,0.17326415528014844,0.5209037805398723,25,25,25,30.251320244299016,31.285652465065034,24.752193387040567,27.62300950119099,-5.803656170771272,-3.199622585624801,-7.127911921738937,-3.9317517188431657,0.1676068090222662,0.17832815268662092,0.5075862602742788,0.5330458764398145,0,0,0,tour-Slam tournament edition,2000,15464237260601285242
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,ATP,Roland Garros,2001,2025,3036,3034,3034,945.1474899936144,820,-125.14748999361439,31.151861898273378,27.027027027027025,-4.124834871246354,-5.083122547702674,0.17708426507957928,0.5293586530471938,25,25,25,30.49281537815226,31.754077552068473,24.950358582575266,29.089844825603077,-5.91884768944528,-2.291589167505586,-7.325255418359624,-2.818165096965472,0.16972875837313833,0.18443850024944938,0.5123222201688866,0.5462630147614821,0,0,0,tour-Slam tournament edition,2000,9658447550668440652
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,ATP,US Open,2001,2025,2992,2991,2991,927.8157291138052,806,-121.81572911380522,31.020251725637088,26.947509194249417,-4.072742531387671,-4.997659661870941,0.17805561686168075,0.5311987888822839,25,25,25,30.35623554576764,31.681199984271835,25.15915357826586,28.743738889668805,-5.597110820861124,-2.5245763167472783,-6.870501309463191,-3.11167152508206,0.1719120946851141,0.18406058724930852,0.5172217647085757,0.5452154473560579,0,0,0,tour-Slam tournament edition,2000,17554591400496156914
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,ATP,Wimbledon,2001,2025,2933,2933,2933,954.3253859717416,804,-150.32538597174164,32.53751742147091,27.41220593249233,-5.125311488978577,-6.113699024780743,0.18344538639287913,0.5462922243564833,24,24,24,31.881596532828752,33.186004800972384,26.008133598543676,28.975391428444194,-6.321313417108105,-3.8901850001460385,-7.5462392039026325,-4.629350789444251,0.177406570764667,0.189597908545274,0.5325685512916054,0.5603136762250386,0,0,0,tour-Slam tournament edition,2000,9434045681133736556
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,WTA,Australian Open,2007,2025,2382,2382,2382,650.5824025254495,690,39.41759747455046,27.31244343095926,28.967254408060455,1.654810977101195,1.8981285126474945,0.18735972328927986,0.5521504845233178,19,19,19,26.561738628531824,28.013364814405104,27.341354996799435,30.743385132297355,0.14050537662508586,3.363855781141323,0.16184617954878316,3.872871521282253,0.17914952931296604,0.19651071040463797,0.5325511509900255,0.5740031626861446,0,0,0,tour-Slam tournament edition,2000,16556554140462110299
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,WTA,Roland Garros,2007,2025,2368,2368,2368,678.4255128227064,711,32.57448717729358,28.649726048256184,30.02533783783784,1.3756117895816544,1.5435988951911699,0.1922410270943044,0.5642968405990051,19,19,19,27.947516545796603,29.336299958499154,28.228698645648997,31.99886407708741,-0.20097180527802846,3.089779730326293,-0.22434492288550736,3.4468798236712628,0.18464217082402312,0.20034440957495414,0.5452833747576696,0.5843647704393639,0,0,0,tour-Slam tournament edition,2000,1873566645869923973
rating-history-sensitivities-v1,frozen_market_common,probable_duplicates_keep_one,fixed_primary,WTA,US Open,2007,2025,2375,2375,2375,663.1948751002045,677,13.805124899795487,27.923994741061243,28.505263157894735,0.5812684168334942,0.660320861860805,0.18654510768549284,0.5529387123762017,19,19,19,27.09976997749289,28.69359435312331,27.31500567692428,29.780057005033377,-0.7015875584323389,1.9210209578015172,-0.7883626828307706,2.17870636295424,0.1808116629956393,0.1922504677992549,0.537689629897583,0.5675048114944311,0,0,0,tour-Slam tournament edition,2000,11895457749531163415
