analysis_version,sample,variant_label,tour,slam,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,standardized_excess_ci_lower,standardized_excess_ci_upper,brier_score_ci_lower,brier_score_ci_upper,log_loss_ci_lower,log_loss_ci_upper,underdog_flips_vs_frozen_market,ties_created_vs_frozen_market,ties_removed_vs_frozen_market,bootstrap_unit,bootstrap_replicates,bootstrap_seed
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,ATP,US Open,2001,2025,2992,2987,2987,803.786533597238,740,-63.78653359723796,26.90949225300428,24.774020756611982,-2.1354714963922987,-2.7484293461186993,0.1666393073190555,0.5031204936140495,25,25,25,26.159499785801028,27.70307717502138,23.534874731202684,26.030653812056737,-3.3484716742072376,-0.8105821686699429,-4.299188175602849,-1.0501150786289828,0.16047548014162236,0.17343606498700953,0.4885393936612035,0.5188559721515817,0,0,0,tour-Slam tournament edition,2000,8391618251954317472
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,ATP,Wimbledon,2001,2025,2933,2930,2930,794.2325119583192,667,-127.23251195831915,27.106911670932394,22.764505119453926,-4.3424065514784695,-5.519705856323306,0.16085423134345384,0.49067474931235516,24,24,24,26.21100590515144,28.096173435518434,21.25251324319565,24.321734667778983,-5.980375021696621,-2.880287329500424,-7.566336855405389,-3.670356140912611,0.1547944491255736,0.16777931871581442,0.4760118213321724,0.5082015998759082,0,0,0,tour-Slam tournament edition,2000,14966383334925667211
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,WTA,Australian Open,2007,2025,2382,2380,2380,677.4525632439609,650,-27.452563243960867,28.464393413611802,27.3109243697479,-1.1534690438639021,-1.2966366140429988,0.1754059741612016,0.5250311378502452,19,19,19,27.696454435128892,29.24537930027421,25.83084436333991,29.04314658972312,-2.7386461824386497,0.5781826412751825,-3.0565936919087626,0.6484602685165599,0.16893341214614085,0.18325717510046333,0.5092160450085723,0.54357083691206,0,0,0,tour-Slam tournament edition,2000,8249925187492571499
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,WTA,Roland Garros,2007,2025,2368,2365,2365,675.2287155492043,647,-28.228715549204253,28.5508970633913,27.357293868921776,-1.1936031944695245,-1.3350547348451869,0.17679903952756695,0.5276917331069164,19,19,19,27.79639324387739,29.274760256207593,25.3164290809211,29.386892177589854,-2.9172968225403575,0.5751621599101411,-3.2832023146032543,0.6343988195723865,0.16827577019482948,0.18436443902742497,0.5071032831768165,0.5455239244371589,0,0,0,tour-Slam tournament edition,2000,11901776815630504415
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,WTA,US Open,2007,2025,2375,2371,2371,672.6907550350625,613,-59.690755035062466,28.37160502045814,25.85407001265289,-2.51753500780525,-2.824160484554158,0.1751265252393289,0.5255690183043814,19,19,19,27.630719499754207,29.068407913793312,24.471469057258528,27.372156167040504,-3.596495911330173,-1.3050501917396924,-4.029458497337045,-1.466342836989543,0.16872983532437913,0.18066488852500706,0.5100582263043164,0.5391798473524075,0,0,0,tour-Slam tournament edition,2000,17844556086749876591
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,WTA,Wimbledon,2007,2025,2242,2241,2241,645.7023917324303,632,-13.702391732430328,28.813136623490866,28.201695671575187,-0.6114409519156773,-0.6623922036563813,0.18412706034176154,0.5459873969003455,18,18,18,27.83710712971442,29.647429005825803,26.315496163502825,30.080790782069315,-2.2895172055528668,1.0369890666142316,-2.476824253041788,1.1237233628747831,0.17587084689943033,0.19189450038738096,0.526648519283331,0.5643388223268477,0,0,0,tour-Slam tournament edition,2000,7126137376472798431
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,ATP,Australian Open,2001,2025,2958,2958,2958,796.740588765502,697,-99.74058876550203,26.935111182065654,23.563218390804597,-3.3718927912610557,-4.318579008601584,0.15850462173501553,0.48259921504660763,25,25,25,26.165670212080162,27.834407648898686,22.142310431489044,25.151572112098428,-4.415716433146797,-2.3043151021791486,-5.6615036648121,-2.9526059930262782,0.15237254690370522,0.16474901183379553,0.4676734617710513,0.4980322964797423,0,0,0,tour-Slam tournament edition,2000,2480153237287830987
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,ATP,Roland Garros,2001,2025,3035,3034,3034,805.0404630615812,693,-112.04046306158125,26.533963845141106,22.84113381674357,-3.692830028397536,-4.818448339513785,0.15887565324412886,0.4845571333733006,25,25,25,25.69173042086454,27.485219798120806,21.09923393297707,24.743552872064875,-5.048486115225317,-2.2599687164431774,-6.6165749709875525,-2.9430999357959786,0.15151349634939257,0.16633071381467548,0.46673951966961197,0.5024099385025763,0,0,0,tour-Slam tournament edition,2000,2502212985235640695
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,ATP,US Open,2001,2025,2990,2985,2985,803.3430417833006,740,-63.34304178330058,26.912664716358474,24.790619765494135,-2.122044950864341,-2.729990551583939,0.1666909038867702,0.5032662888003472,25,25,25,26.201511879271205,27.72701390310558,23.517424561611993,26.142500605848454,-3.3024414724666524,-0.9237188091763757,-4.232421805792851,-1.188918425935245,0.16040787885900237,0.1735417822950684,0.4883620554039658,0.5196801875788802,0,0,0,tour-Slam tournament edition,2000,5860596181448712151
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,ATP,Wimbledon,2001,2025,2931,2928,2928,793.5265717935555,667,-126.52657179355549,27.10131734267608,22.780054644808747,-4.321262697867333,-5.491412636853823,0.1608771019604352,0.4907102439768065,24,24,24,26.179687545177167,28.06504776668165,21.26196885888349,24.286746165955435,-6.076170461478799,-2.8329176527465942,-7.671849453096507,-3.622005492178589,0.15460906749883516,0.16744911290129427,0.47543596867074434,0.5067754334149175,0,0,0,tour-Slam tournament edition,2000,9904637784227434819
