robustness_version,sample,tour,slam,model,dimension,group_value,start_year,end_year,score_matches,expected_per_100,actual_per_100,excess_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper,bootstrap_replicates,bootstrap_unit
slam-robustness-v1,maximum_available,WTA,Australian Open,surface_adjusted_elo,era,2000-2009,2000,2009,1244,26.057207708908653,27.009646302250804,0.952438593342151,25.268775197650527,26.846391513905694,24.879115977865336,28.951666862883602,-1.5947629483215555,3.401612999685378,0.17894542352945983,0.171001638813126,0.18644383527281186,0.5292898015637938,0.5107074221240504,0.546141287392852,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,surface_adjusted_elo,era,2010-2019,2010,2019,1257,27.082855290732073,28.480509148766906,1.3976538580348319,26.205759478526318,28.03872780422153,26.576217079010377,30.781499202551835,0.000488372019269644,3.295916083129019,0.18790612569142592,0.1790645040442564,0.19781809523634244,0.5536792689745861,0.5326016922138386,0.5771181877414856,2000,
slam-robustness-v1,maximum_available,WTA,Australian Open,surface_adjusted_elo,era,2020-2025,2020,2025,753,28.690893067652837,30.544488711819387,1.8535956441665506,28.11899027639017,29.283607012049885,27.344782034346107,34.22818791946309,-1.539783501332416,5.978692412073263,0.1939037896476413,0.17693764410502996,0.215733393771025,0.5675635488627543,0.5261143136154132,0.6185826801775933,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,overall_elo,all,all,1988,2025,4755,26.44269127821233,28.853838065194534,2.4111467869822056,25.94700589489098,26.967119594166657,27.274594087462663,30.45872141864479,1.0044649373534527,3.885857435247099,0.1868708993502173,0.1793354762685646,0.19435456390722955,0.5518418761415188,0.5326077049030211,0.5708597845010636,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,overall_elo,era,1988-1999,1988,1999,1506,25.0822570662926,26.759628154050464,1.6773710877578663,24.557413097134344,25.638325334868302,23.745675239303424,29.874744702089295,-1.056368990830443,4.567763043821178,0.17731270928610193,0.1623366536004017,0.1929156497939923,0.5298794650315886,0.4906966076881437,0.5697064859934532,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,overall_elo,era,2000-2009,2000,2009,1258,26.18386238318254,28.537360890302068,2.353498507119529,25.49023590921579,26.880550418090465,25.19872813990461,31.528662420382165,-0.5719189727112255,5.117801614346329,0.18200544029651616,0.1689991731539519,0.1940226672443866,0.5379415467498606,0.5045077779769591,0.5698768851878048,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,overall_elo,era,2010-2019,2010,2019,1249,27.350868531882213,29.383506805444355,2.032638273562143,26.568683170779575,28.177207711578838,27.693412215177958,31.1698717948718,0.09004793189808451,4.29087611308776,0.1908211686110548,0.18237518699292993,0.1989254309748262,0.5615887184767538,0.5394903747070875,0.5827736156497803,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,overall_elo,era,2020-2025,2020,2025,742,28.113994894472853,32.74932614555256,4.635331251079705,27.18360119120894,29.106060399437574,29.06655217965654,36.488376166070566,1.6992671807712696,7.572569815717749,0.20787021932235653,0.19583922445217944,0.22227076183488034,0.6035779939710972,0.5760400821503361,0.6387268875572101,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,surface_adjusted_elo,all,all,1988,2025,4755,27.635701014839192,28.853838065194534,1.2181370503553421,27.0869644339986,28.200697728248095,27.230168637408322,30.47520492149643,-0.21301463252125719,2.6449651279712256,0.185294077317051,0.17790475141894085,0.19229089291337037,0.5476287473128981,0.529068579229866,0.5653518968646891,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,surface_adjusted_elo,era,1988-1999,1988,1999,1506,26.199929837465653,26.958831341301458,0.758901503835807,25.680708726999764,26.76037136756506,23.659121252170543,30.232712355807788,-2.2020710297563633,3.7525077070386557,0.17500789766491182,0.15979645883423765,0.19050288690757763,0.5234533986869118,0.48533384328714735,0.5621102829820552,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,surface_adjusted_elo,era,2000-2009,2000,2009,1258,27.305203829191726,28.37837837837838,1.0731745491866518,26.564959492994205,28.027398637461367,24.97961495118592,31.717546775596308,-2.019567470648492,4.1160036348322215,0.18154837137173116,0.16799013644118876,0.19474905133994183,0.5366700134743567,0.5022262564159775,0.5703164352895207,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,surface_adjusted_elo,era,2010-2019,2010,2019,1249,28.574274711164897,29.463570856685347,0.8892961455204512,27.751796939343606,29.441215228648257,27.81774580335731,31.250000000000004,-1.032779210947118,2.981228995261164,0.18977661757365816,0.1820384202845627,0.1974417541288793,0.559058468574784,0.539634082610591,0.5785052093683085,2000,
slam-robustness-v1,maximum_available,WTA,Roland Garros,surface_adjusted_elo,era,2020-2025,2020,2025,742,29.530253987828857,32.479784366576816,2.94953037874796,28.506454999511952,30.62899994943499,28.8,36.24071681376614,-0.10145453832676135,6.527072813624177,0.2049765461241062,0.19419396771959255,0.21969890254208005,0.5960363488540484,0.5710784480945342,0.6300405167656636,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,overall_elo,all,all,1988,2025,4635,26.32939966854262,28.371089536138083,2.0416898675954616,25.70792120416173,26.97777552831383,26.8904667186711,29.96114611108828,0.8082571035006634,3.4197275955370583,0.18484942809431248,0.17735322140103063,0.19268078438886793,0.548385152541029,0.5295937570749603,0.568623582205788,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,overall_elo,era,1988-1999,1988,1999,1515,24.85936185729322,25.08250825082508,0.22314639353185936,24.250886023973017,25.599396021796068,22.787318361955087,27.49504296100463,-1.9358170656935394,2.492955398335484,0.17134294310881332,0.15856577368394525,0.1865842938646481,0.5149852177216511,0.4816670078604197,0.5544458490867405,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,overall_elo,era,2000-2009,2000,2009,1250,25.504157445235187,26.96,1.455842554764813,24.795809475560915,26.18773820158162,24.446069832571684,29.516724595797857,-1.0112484304441922,4.021362999847,0.17524204718278838,0.1640540967859049,0.18594761165034057,0.524438129280148,0.49591569595731927,0.5526432446621306,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,overall_elo,era,2010-2019,2010,2019,1249,27.722046154043042,32.02562049639712,4.303574342354075,26.495884466550034,28.90062269052583,30.200386815476477,33.97282174260591,2.1289848298911185,6.4005795235128025,0.2014590882536512,0.19280283471278242,0.21067734619221068,0.59060330692656,0.5689100618810683,0.6138636260387723,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,overall_elo,era,2020-2025,2021,2025,621,28.77584830427112,31.884057971014492,3.108209666743374,28.45817738000611,29.060156624916875,28.663446054750402,35.47351524879615,-0.22651177264030178,7.061072324685993,0.20373201320449205,0.18643712326309894,0.22266058043213255,0.5931584303186911,0.5514808134790233,0.6372576955397165,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,surface_adjusted_elo,all,all,1988,2025,4635,28.64876650562766,28.112189859762676,-0.5365766458649807,28.033964656001118,29.270456655130204,26.525972873269907,29.725701102085633,-1.9372520566335967,0.9141905764773002,0.18300211591896035,0.1757790479229991,0.18991457165871392,0.5427090161284726,0.5250407080275228,0.5600386922849974,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,surface_adjusted_elo,era,1988-1999,1988,1999,1515,27.019264844977695,25.214521452145213,-1.8047433928324836,26.45506157487596,27.672275874891014,22.69039100323106,27.67503302509908,-4.242800566189028,0.595904699708445,0.16930905290947001,0.15755593445004482,0.1819972601489155,0.5080775862407633,0.4791858106921873,0.5390532745148788,2000,
slam-robustness-v1,maximum_available,WTA,Wimbledon,surface_adjusted_elo,era,2000-2009,2000,2009,1250,28.084929817960067,26.560000000000002,-1.5249298179600645,27.46556850643285,28.656755146385493,23.910973033617974,29.160103661820138,-4.01216386589001,0.9934810383181427,0.1740683207947609,0.1648608392579369,0.18339530898347062,0.5218331043305078,0.49932357379262116,0.5455760684157634,2000,
