robustness_version,scenario,category,comparison_value,preferred_analysis,tour,slam,model,start_year,end_year,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions,note
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,US Open,market_odds,2007,2025,2304,2300,2300,658.2759234226223,597,-61.27592342262233,28.62069232272271,25.956521739130434,-2.664170583592275,-2.933790822822426,0.1758166987895155,0.5273747714031304,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,US Open,overall_elo,2007,2025,2304,2304,2304,639.9406089464142,652,12.059391053585841,27.775200041077003,28.29861111111111,0.5234110700341077,0.5869404926719859,0.18713181295024223,0.5540464548086286,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,US Open,surface_adjusted_elo,2007,2025,2304,2304,2304,646.6965843387225,660,13.30341566127754,28.068428139701496,28.645833333333332,0.5774051936318376,0.6447642090021435,0.1869282349885379,0.5538186839734017,19,19,19,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Wimbledon,market_odds,2007,2025,2009,2009,2009,582.9087977531856,563,-19.90879775318558,29.014872959342238,28.0238924838228,-0.9909804755194416,-1.0137444546915921,0.18460415254230708,0.5475042629422753,18,18,18,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Wimbledon,overall_elo,2007,2025,2009,2009,2009,556.4948659722924,633,76.50513402770764,27.700092880651685,31.508213041314086,3.8081201606624013,3.9904720679470245,0.19926702230563112,0.5847139861207066,18,18,18,
slam-robustness-v1,common_both_players_surface_history,cold_start,both players have at least one prior match on the recorded surface,False,WTA,Wimbledon,surface_adjusted_elo,2007,2025,2009,2009,2009,601.0143200619715,618,16.98567993802851,29.916093581979666,30.76157292185167,0.8454793398720015,0.8596751947850986,0.19685439161648907,0.5774380426135841,18,18,18,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Australian Open,market_odds,2001,2025,2607,2607,2607,701.571120820139,610,-91.57112082013896,26.911051815118487,23.39854238588416,-3.512509429234329,-4.227510975795709,0.15694028759142595,0.4784257323679248,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Australian Open,overall_elo,2001,2025,2607,2607,2607,794.3912140185304,686,-108.39121401853038,30.471469659322224,26.313770617568085,-4.157699041754138,-4.790954885507311,0.1723979509213798,0.5182707536459715,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Australian Open,surface_adjusted_elo,2001,2025,2607,2607,2607,806.8599211550776,682,-124.85992115507759,30.949747646915135,26.160337552742618,-4.78941009417252,-5.4878684024224,0.172218490604282,0.5183746665536032,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Roland Garros,market_odds,2001,2025,2677,2677,2677,712.0074257727691,622,-90.00742577276912,26.597214261216624,23.234964512514008,-3.3622497487026193,-4.118825319020214,0.16004941192617195,0.48726716216116633,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Roland Garros,overall_elo,2001,2025,2677,2675,2675,809.0628445025014,745,-64.06284450250143,30.24533998140192,27.850467289719624,-2.394872691682296,-2.802373634554258,0.18061947505820805,0.5363460790947692,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Roland Garros,surface_adjusted_elo,2001,2025,2677,2675,2675,841.1242245896701,736,-105.12422458967012,31.443896246342806,27.514018691588785,-3.929877554754023,-4.535235472428079,0.17878144930854584,0.5331309474967956,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,US Open,market_odds,2001,2025,2632,2627,2627,707.6489503538966,639,-68.64895035389657,26.93753141811559,24.324324324324326,-2.6132070937912664,-3.1535416361257385,0.16641445792689213,0.5020228932309142,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,US Open,overall_elo,2001,2025,2632,2631,2631,803.2466210955989,723,-80.24662109559893,30.530088221041385,27.480045610034207,-3.0500426110071803,-3.5292792778621496,0.1790179980616523,0.5322194902567602,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,US Open,surface_adjusted_elo,2001,2025,2632,2631,2631,822.8460722117147,715,-107.84607221171473,31.27503125092036,27.175978715317367,-4.099052535602992,-4.7041242785624195,0.17878822108234294,0.5324474362242319,25,25,25,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Wimbledon,market_odds,2001,2025,2585,2582,2582,703.8201586253961,585,-118.82015862539606,27.258720318566848,22.6568551510457,-4.601865167521149,-5.482554532806618,0.16106506922533328,0.49130497662892825,24,24,24,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Wimbledon,overall_elo,2001,2025,2585,2585,2585,786.7416994584497,739,-47.741699458449716,30.434881990655697,28.588007736943908,-1.846874253711788,-2.1201968649049268,0.18734965194436348,0.5541213079672221,24,24,24,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,ATP,Wimbledon,surface_adjusted_elo,2001,2025,2585,2585,2585,851.3812802525587,725,-126.38128025255867,32.93544604458641,28.046421663442942,-4.889024381143469,-5.455500192709489,0.18655969312997775,0.5533300218894538,24,24,24,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Australian Open,market_odds,2007,2025,2101,2100,2100,594.2045347785211,560,-34.204534778521065,28.29545403707243,26.666666666666664,-1.628787370405765,-1.7247082607802757,0.17131796046074882,0.5150678529413535,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Australian Open,overall_elo,2007,2025,2101,2101,2101,567.2886181148617,602,34.71138188513828,27.000886154919645,28.65302237029986,1.6521362153802133,1.788516361032714,0.1853817881896363,0.5463456936947345,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Australian Open,surface_adjusted_elo,2007,2025,2101,2101,2101,575.6112823630168,600,24.388717636983188,27.397014867349682,28.557829604950022,1.1608147376003422,1.2501507090635098,0.18471584629340376,0.5447744960253184,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Roland Garros,market_odds,2007,2025,2088,2085,2085,587.9252643926839,556,-31.925264392683857,28.197854407322968,26.666666666666668,-1.5311877406563001,-1.6155961139863213,0.17426564288232416,0.5217083967334418,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Roland Garros,overall_elo,2007,2025,2088,2088,2088,570.5867611908449,630,59.41323880915513,27.326952164312495,30.17241379310345,2.8454616287909547,3.052152586906725,0.19249476127886567,0.5643970817815084,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Roland Garros,surface_adjusted_elo,2007,2025,2088,2088,2088,597.3139851700037,626,28.68601482999634,28.606991626915885,29.980842911877396,1.3738512849615105,1.4484341892798624,0.19099082128503278,0.5606910162940717,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,US Open,market_odds,2007,2025,2093,2091,2091,586.3198952864602,529,-57.31989528646022,28.04016715860642,25.298900047824006,-2.7412671107824114,-2.9013192097472453,0.17249048179655635,0.519318830019417,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,US Open,overall_elo,2007,2025,2093,2093,2093,573.3578715213256,575,1.6421284786744081,27.394069351233902,27.47252747252747,0.07845812129356942,0.08426796157777405,0.18392175231763036,0.5466265312885012,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,US Open,surface_adjusted_elo,2007,2025,2093,2093,2093,580.9845672066808,590,9.015432793319178,27.75845997165221,28.18920210224558,0.4307421305933673,0.46023865270381337,0.1838962308000811,0.5468128094904723,19,19,19,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Wimbledon,market_odds,2007,2025,1978,1977,1977,562.7119881491802,549,-13.711988149180229,28.46292302221448,27.769347496206375,-0.6935755260081047,-0.7089824253430881,0.180961148022515,0.5377870961783532,18,18,18,
slam-robustness-v1,common_early_rounds,round_scope,R128;R64;R32,False,WTA,Wimbledon,overall_elo,2007,2025,1978,1978,1978,541.3261691138229,605,63.67383088617714,27.367349297968797,30.58645096056623,3.2191016625974287,3.362753647660805,0.19462672398286268,0.5722964968875697,18,18,18,
