analysis_version,sample,variant_label,comparison_model,difference_direction,market_brier_better,market_log_loss_better,market_proper_score_advantage_both,bootstrap_seed,tour,slam,score_matches,paired_upset_matches,paired_upset_exclusions_due_to_either_tie,primary_exact_ties,variant_exact_ties,ties_created,ties_removed,editions,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,5360888617643041358,ATP,Roland Garros,3036,3033,3,2,1,1,2,25,tour-Slam edition,2000,-3.4514234005331557,-4.075916637833162,-2.749702848844143,-4.549950544015825,-6.166423564630886,-3.0991316812895096,-1.0985271434826698,-2.9403473013392696,0.5277018598182186,-0.020624498189214427,-0.024842386712757354,-0.016393270036508322,-0.04924574574686219,-0.059084205838593196,-0.03964577101858867
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,10134913055527635980,ATP,Wimbledon,2933,2930,3,0,3,3,0,24,tour-Slam edition,2000,-2.971310232099611,-3.6219635556615626,-2.2757596130615636,-5.221843003412969,-7.087190011388045,-3.3213809211967567,-2.2505327713133583,-4.448804208432902,-0.10561988852598375,-0.02326757495664179,-0.02814829569409763,-0.018566381144544515,-0.05600993453952696,-0.06632753473122661,-0.04592529142577915
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,4820621376047469075,ATP,US Open,2992,2986,6,1,5,5,1,25,tour-Slam edition,2000,-3.3810964293613,-4.0071486108914085,-2.757065594666682,-2.3107836570663096,-3.4414495025740104,-1.281511187949042,1.0703127722949906,-0.19529318885669095,2.2485209121228475,-0.011739721743186684,-0.015003008693843698,-0.008699527206999059,-0.028196956262868927,-0.035871153519359496,-0.021315331666898238
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,13461297532106012210,WTA,Australian Open,2382,2380,2,0,2,2,0,19,tour-Slam edition,2000,1.5120205392910275,1.0165613917727345,1.9858790564682927,-1.8067226890756305,-3.0718561966258777,-0.5056890012642226,-3.318743228366658,-4.627847938322701,-1.9921080906971629,-0.012727387818184917,-0.01621104039963468,-0.008903808413089286,-0.028944642978237463,-0.03793732210808461,-0.019188225508666376
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,4519243057430632503,WTA,Roland Garros,2368,2365,3,0,3,3,0,19,tour-Slam edition,2000,1.2020165039922537,0.8448726609782016,1.5409248170172454,-2.7906976744186047,-4.949238578680203,-0.7639180282362971,-3.9927141784108584,-6.00932368423809,-2.0836961839471826,-0.01681341928404795,-0.02043783523856442,-0.013106839374102546,-0.04006484055866846,-0.049272732748802235,-0.030823716810445028
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,3959261572328029098,WTA,Wimbledon,2242,2241,1,0,1,1,0,18,tour-Slam edition,2000,1.3104787869339367,0.8916959182303519,1.744675186466292,-3.078982597054886,-4.421666185713414,-1.654703639046491,-4.389461383988823,-6.020806604970411,-2.6833502667052636,-0.013899917620028235,-0.01884743406041424,-0.008867868141698185,-0.03519013944368539,-0.04735766090997413,-0.022834793523054803
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,overall_elo,variant market minus comparison model,True,True,True,11231702153911361754,WTA,US Open,2375,2371,4,0,4,4,0,19,tour-Slam edition,2000,0.7766717122104007,0.4430688853648233,1.1334223224414721,-2.2775200337410375,-3.5789850574202986,-0.8823436766558788,-3.0541917459514383,-4.358372189492048,-1.5973820268484562,-0.01159414305655575,-0.01676800756318053,-0.006560301655176769,-0.0275963964565529,-0.04008433771851287,-0.015231323124946284
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,15218440614650242808,ATP,Australian Open,2958,2958,0,0,0,0,0,25,tour-Slam edition,2000,-3.8146972836119795,-4.400824453614578,-3.221080126374841,-2.704530087897228,-4.027831183466781,-1.364358659769179,1.1101671957147516,-0.20437500337772713,2.3884020708701503,-0.014759533819985573,-0.0176106605931616,-0.011675883990164528,-0.03830456612329624,-0.04510587529920008,-0.030852853747500398
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,3431472737304542134,ATP,Roland Garros,3036,3033,3,2,1,1,2,25,tour-Slam edition,2000,-4.623064799073337,-5.263714140849588,-3.975170062737436,-4.187273326739202,-5.721088904656785,-2.666952364118925,0.4357914723341351,-1.2651676704959487,2.177139805394321,-0.018218441815366613,-0.022100332932335237,-0.014392641891075005,-0.044814513382103884,-0.05372450444778212,-0.036487113859489474
market-probability-sensitivities-v1,balanced_variant_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,variant market minus comparison model,True,True,True,16846347434153076222,ATP,Wimbledon,2933,2930,3,0,3,3,0,24,tour-Slam edition,2000,-5.4182882493376825,-6.044032740877187,-4.716711573655969,-4.6416382252559725,-6.573569482288829,-2.770714445687107,0.7766500240817094,-1.4453112838727635,2.882102624253766,-0.022591167426748153,-0.026853124464883013,-0.01849511033272143,-0.055617509018841625,-0.06459357972580089,-0.04663064515521625
