tour,slam,dimension,group_value,completed_non_retirement_matches,both_ranked_non_ties,lower_ranked_winner,both_seeded_non_ties,lower_seeded_winner,seed_order_non_ties,lower_seed_order_winner,lower_ranked_winner_per_100,lower_seeded_winner_per_100,lower_seed_order_winner_per_100,interpretation,robustness_version
WTA,Australian Open,era,2010-2019,1257,1249,365,138,46,837,214,29.22337870296237,33.333333333333336,25.567502986857825,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,era,2020-2025,753,753,240,77,32,497,134,31.872509960159363,41.55844155844156,26.961770623742456,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,F,37,36,9,32,8,37,9,25.0,25.0,24.324324324324323,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,QF,149,148,39,102,28,141,39,26.35135135135135,27.45098039215686,27.659574468085108,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,R128,2403,2376,732,0,0,974,181,30.80808080808081,,18.583162217659137,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,R16,297,296,85,144,44,279,80,28.716216216216218,30.555555555555557,28.67383512544803,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,R32,597,593,143,127,42,494,112,24.114671163575043,33.07086614173228,22.672064777327936,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,R64,1205,1196,330,0,0,792,166,27.59197324414716,,20.95959595959596,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,round,SF,75,74,22,57,17,74,21,29.72972972972973,29.82456140350877,28.37837837837838,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,seed_field_regime,observed_max_seed_1_16,1760,1724,467,116,28,780,117,27.08816705336427,24.137931034482758,15.0,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Australian Open,seed_field_regime,observed_max_seed_above_16,3003,2995,893,346,111,2011,491,29.81636060100167,32.08092485549133,24.415713575335655,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,all,all,4755,4716,1411,463,159,2775,630,29.919423240033925,34.341252699784015,22.7027027027027,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,era,1988-1999,1506,1479,406,97,30,671,112,27.45098039215686,30.927835051546392,16.69150521609538,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
WTA,Roland Garros,era,2000-2009,1258,1250,370,151,49,791,172,29.6,32.450331125827816,21.74462705436157,descriptive official rank/seed ordering only; unseeded is ordered below seeded; not a calibrated pre-match probability model,slam-robustness-v1
