analysis_version,sample,variant_label,bootstrap_seed,tour,contrast,start_year,end_year,calendar_years,bootstrap_unit,bootstrap_replicates,expected_per_100,expected_per_100_ci_lower,expected_per_100_ci_upper,actual_per_100,actual_per_100_ci_lower,actual_per_100_ci_upper,excess_per_100,excess_per_100_ci_lower,excess_per_100_ci_upper,brier_score,brier_score_ci_lower,brier_score_ci_upper,log_loss,log_loss_ci_lower,log_loss_ci_upper
market-probability-sensitivities-v1,balanced_variant_common,proportional_named_books_preferred_mean,16619597566541326825,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.33274582092641225,-0.10176258618433404,0.7748356366343321,-0.7191032158780608,-2.1934274350269947,0.6122002322221696,-1.0518490368044708,-2.7850378668831053,0.4491892208136648,-0.0006698527721037684,-0.005844279072246736,0.004739779674367665,0.00021529321997604267,-0.012363300927786555,0.01370781886416212
market-probability-sensitivities-v1,balanced_variant_common,proportional_named_books_preferred_mean,17914001664775764044,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.35358440922239254,-0.3263490680677722,1.0047533919720841,1.5519194789404303,-0.47885590661474764,3.4477284982681886,1.1983350697180348,-0.9042792447259375,3.0686559225462795,0.008471698437079678,0.0010056316199980146,0.015797646162927566,0.02029283893121414,0.0031735393088131113,0.03741895493603066
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_named_books_preferred_mean,4561861831321244052,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.33274582092641225,-0.13041014451574365,0.8067687890256781,-0.7191032158780608,-2.1654658712544745,0.6505572228186162,-1.0518490368044708,-2.693640760807659,0.5153727027550319,-0.0006698527721037684,-0.005764830886128717,0.004480407991116853,0.00021529321997604267,-0.012487131182955595,0.013192521192032977
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_named_books_preferred_mean,3784193077985959301,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.35358440922239254,-0.3540388599536487,1.0107591601401211,1.5519194789404303,-0.4146856686424649,3.393277590456648,1.1983350697180348,-0.7475140540089716,3.0982554400189555,0.008471698437079678,0.0012262150831644982,0.015441007593004607,0.02029283893121414,0.003462216895765505,0.036720156709324436
market-probability-sensitivities-v1,primary_completed_non_retirement,power_named_books_preferred_mean,15075296194502245168,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3188812408542141,-0.16448208125859765,0.7939780652848015,-0.7063235873696243,-2.236281877003943,0.5956220415866562,-1.025204828223842,-2.745509180604202,0.5296346604421298,-0.0009488083836907968,-0.006587100252736873,0.004632158458579808,0.000643046526546398,-0.014475604525148778,0.01635454064982476
market-probability-sensitivities-v1,primary_completed_non_retirement,power_named_books_preferred_mean,11692710092259353464,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.352662642503482,-0.3822197729918173,1.1106590184349534,1.5043783081443145,-0.6255551091457193,3.4697289352328675,1.1517156656408358,-1.0971581546761247,3.0646148707604897,0.008923530170147242,0.0006760597422775551,0.017155946827761562,0.022206153819107066,0.0029707055229700576,0.042481133152112716
market-probability-sensitivities-v1,balanced_variant_common,power_named_books_preferred_mean,12662884153496517615,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3188812408542141,-0.1732207733872604,0.7866310812063327,-0.7063235873696243,-2.1754900197158666,0.6545223945547456,-1.025204828223842,-2.6698249061623005,0.5325830084439942,-0.0009488083836907968,-0.00626022357042297,0.004854737973721918,0.000643046526546398,-0.013903891678499977,0.01625643092971607
market-probability-sensitivities-v1,balanced_variant_common,power_named_books_preferred_mean,8230129847833954904,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.352662642503482,-0.44836925053074067,1.1049114620240972,1.5043783081443145,-0.5715922265270288,3.31334675530239,1.1517156656408358,-1.0160774304832814,2.992308360767318,0.008923530170147242,0.0009206096061559672,0.016209405774207684,0.022206153819107066,0.003450325701881235,0.04045999694658523
market-probability-sensitivities-v1,balanced_all_variants_common,power_named_books_preferred_mean,11647731259594042807,ATP,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2001,2025,25,calendar year jointly across all four Slams,2000,0.3188812408542141,-0.157149315340353,0.77432025775932,-0.7063235873696243,-2.1106895640300616,0.6279478038416667,-1.025204828223842,-2.648031821609057,0.5385531448772709,-0.0009488083836907968,-0.006409828488943685,0.004826647080991289,0.000643046526546398,-0.014358573519858451,0.01643862868401583
market-probability-sensitivities-v1,balanced_all_variants_common,power_named_books_preferred_mean,7605095711650819920,WTA,"Wimbledon minus equal-weight mean of Australian Open, Roland Garros, and US Open",2007,2025,19,calendar year jointly across all four Slams,2000,0.352662642503482,-0.39652622474351507,1.126730974444376,1.5043783081443145,-0.5844273317982643,3.4149363511427198,1.1517156656408358,-0.9727800260944216,3.071553906388536,0.008923530170147242,0.001240737282688513,0.01705337101864049,0.022206153819107066,0.0038865332775415095,0.04276755999361529
