robustness_version,odds_availability,tour,slam,dimension,group_value,score_matches,upset_matches,calibration_matches,expected_upsets,actual_upsets,excess_upsets,expected_per_100,actual_per_100,excess_per_100,standardized_excess,brier_score,log_loss,score_tournament_editions,upset_tournament_editions,calibration_tournament_editions
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2009,125,125,125,35.677588963589834,33,-2.677588963589834,28.542071170871868,26.400000000000002,-2.142071170871867,-0.5585925051201186,0.1898710429350478,0.5579030168966482,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2010,126,126,126,33.883153330472226,34,0.11684666952777434,26.891391532120814,26.984126984126984,0.0927354520061701,0.024621521720541814,0.17574871038018752,0.5210907105822934,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2011,125,125,125,34.250278609692344,38,3.7497213903076556,27.400222887753877,30.400000000000002,2.9997771122461248,0.7838011306623204,0.18914810457373507,0.5613323438974448,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2012,125,125,125,33.70959522448322,44,10.290404775516777,26.96767617958658,35.2,8.232323820413422,2.1746980902168667,0.20063821553807937,0.5766924342648758,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2013,127,127,127,35.29024517988801,31,-4.290245179888011,27.78759462983308,24.40944881889764,-3.378145810935442,-0.8925943592996773,0.16525974418728273,0.49631310766720804,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2014,123,123,123,33.54604298376064,38,4.453957016239357,27.27320567785418,30.89430894308943,3.62110326523525,0.9433593714955931,0.2017381219481608,0.6010195347533116,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2015,124,124,124,35.96720658340003,37,1.0327934165999721,29.005811760806473,29.838709677419352,0.8328979166128807,0.2131216705780986,0.1895506498488156,0.5603222048129253,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2016,125,125,125,37.57509855329569,37,-0.5750985532956889,30.060078842636553,29.6,-0.4600788426365512,-0.11659494010506208,0.1892693996457624,0.5579578516117004,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2017,126,126,126,37.605373679823366,39,1.3946263201766342,29.84553466652648,30.95238095238095,1.1068462858544716,0.27927301143646166,0.20882501026472963,0.6040398540860474,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2018,125,125,125,38.23063581408293,34,-4.23063581408293,30.584508651266347,27.200000000000003,-3.3845086512663443,-0.8507789015226968,0.17940329505001004,0.535244893744917,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2019,123,123,123,36.83506118355052,36,-0.835061183550522,29.947204214268716,29.268292682926827,-0.6789115313418878,-0.17090620732962758,0.19887213499698816,0.578512315582366,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2020,124,124,124,36.515707473343085,49,12.484292526656915,29.448151188179907,39.516129032258064,10.067977844078158,2.543240935414199,0.23708831805878966,0.6725994252279068,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2021,123,123,123,37.612588604251265,37,-0.6125886042512647,30.579340328659566,30.08130081300813,-0.4980395156514347,-0.123937984417839,0.19696289467112005,0.5752712554538483,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2022,120,120,120,34.8695263122704,35,0.130473687729598,29.05793859355867,29.166666666666668,0.10872807310799834,0.02712238041244462,0.19655072614157615,0.5785994028982099,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2023,122,122,122,38.71839654732999,48,9.281603452670012,31.736390612565565,39.34426229508197,7.607871682516404,1.8782093161372608,0.2135863955807433,0.6138555095664487,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2024,126,126,126,36.439249688833684,36,-0.43924968883368365,28.920039435582286,28.57142857142857,-0.34861086415371717,-0.08975885329565493,0.19647185686902582,0.5735268347950521,1,1,1
slam-robustness-v1,observed_probability,WTA,Roland Garros,year,2025,127,127,127,34.95901596366143,36,1.0409840363385712,27.526784223355456,28.34645669291339,0.81967246955793,0.2148411040747267,0.18951282186545104,0.5630834330830801,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2007,127,127,127,31.821852180313766,34,2.1781478196862345,25.0565765199321,26.77165354330709,1.715077023374988,0.47447630097318344,0.15810271481370813,0.4745559172019593,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2008,126,126,126,33.12070428808724,34,0.8792957119127607,26.28627324451368,26.984126984126984,0.6978537396133021,0.18771650780844557,0.17767869139789683,0.5341450178484276,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2009,126,126,126,32.783036799613676,32,-0.7830367996136758,26.018283174296567,25.396825396825395,-0.6214577774711713,-0.1673802563771405,0.17891777427977343,0.5450628976767908,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2010,124,124,124,32.89068696528927,31,-1.8906869652892695,26.524747552652634,25.0,-1.5247475526526366,-0.40139462832491296,0.16530877178770811,0.4943449372622926,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2011,121,121,121,31.84977917277158,34,2.15022082722842,26.32213154774511,28.09917355371901,1.777042005973901,0.46483271374514956,0.1865948958981645,0.5540020354374402,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2012,124,124,124,33.28601296573598,38,4.713987034264022,26.843558843335465,30.64516129032258,3.8016024469871144,1.013596038896392,0.19653064097149336,0.578355275473394,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2013,127,127,127,32.00440222510905,35,2.9955977748909532,25.20031671268429,27.559055118110237,2.3587384054259477,0.6401355040604676,0.1835012069482625,0.5449415532690828,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2014,124,124,124,31.929382911263247,38,6.070617088736753,25.74950234779294,30.64516129032258,4.895658942529639,1.3117401517380316,0.19798936384462265,0.5853265300645891,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2015,124,124,124,36.41019979254811,47,10.589800207451887,29.36306434882912,37.90322580645161,8.540161457622489,2.186962728551259,0.22217303110169984,0.6408474453959601,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2016,125,125,125,37.691110205298465,33,-4.691110205298465,30.152888164238774,26.400000000000002,-3.752888164238772,-0.9494455815241526,0.19031287629545648,0.5582958639696313,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2017,127,127,127,39.02761764312405,40,0.9723823568759471,30.730407593011066,31.496062992125985,0.765655399114919,0.1941259484183898,0.1983153573768842,0.5781070872573634,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2018,126,126,126,36.738790029137434,38,1.2612099708625664,29.157769864394787,30.158730158730158,1.0009602943353701,0.2566970976577829,0.1836777659706944,0.5452560358553956,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2019,125,125,125,37.47604469444297,32,-5.476044694442969,29.980835755554377,25.6,-4.380835755554375,-1.1095949145985282,0.180096853892188,0.538874674368914,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2020,126,126,126,36.15405346227707,37,0.8459465377229307,28.693693224029417,29.365079365079364,0.671386141049945,0.1728729807933464,0.18907155136531054,0.5581305677410966,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2021,126,126,126,37.15142412969526,35,-2.1514241296952576,29.485257245789885,27.777777777777775,-1.7074794680121093,-0.43821222475126415,0.1988471158957306,0.5860329850643431,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2022,125,125,125,37.44644465137073,36,-1.446444651370733,29.957155721096587,28.8,-1.1571557210965864,-0.29214734469586967,0.19244886298045497,0.5703795621438483,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2023,126,126,126,36.463698836810636,37,0.5363011631893642,28.93944352127828,29.365079365079364,0.42563584380108266,0.10966226765720048,0.18306508079422845,0.5398477446911142,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2024,122,122,122,33.688813816343576,33,-0.6888138163435755,27.61378181667506,27.049180327868854,-0.5646014888062094,-0.14508262375349007,0.17563341348617517,0.5223015491561613,1,1,1
slam-robustness-v1,observed_probability,WTA,US Open,year,2025,124,124,124,35.25958895824121,33,-2.25958895824121,28.435152385678393,26.61290322580645,-1.8222491598719432,-0.4692119710115681,0.18649741233987882,0.5581207432226757,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2007,126,126,126,32.88871999871671,27,-5.888719998716709,26.102158729140243,21.428571428571427,-4.673587300568816,-1.2544490978413745,0.159552519480243,0.48483286289112526,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2008,124,124,124,34.01359154483363,37,2.9864084551663694,27.430315761962603,29.838709677419352,2.4083939154567493,0.6279890616802332,0.18776964674815938,0.5591685980911901,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2009,123,123,123,34.63175258321872,33,-1.63175258321872,28.15589640912091,26.829268292682926,-1.3266281164379838,-0.34203617659338703,0.17282978146921651,0.5182368134554625,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2010,124,124,124,34.04375226549418,40,5.956247734505823,27.454638923785627,32.25806451612903,4.803425592343405,1.2591711895794961,0.2000681899062765,0.5781964212010515,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2011,125,125,125,34.949731860613156,35,0.05026813938684427,27.959785488490525,28.0,0.040214511509475415,0.010485283932881022,0.19039784376350027,0.5682287632311394,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2012,125,125,125,35.83037563694196,36,0.16962436305804118,28.66430050955357,28.8,0.13569949044643295,0.03504544293542609,0.18820396032974915,0.5558636166263392,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2013,124,124,124,39.81588324565839,36,-3.815883245658391,32.10958326262773,29.032258064516128,-3.0773251981116054,-0.7634331309600906,0.2111146950839992,0.6221643875527901,1,1,1
slam-robustness-v1,observed_probability,WTA,Wimbledon,year,2014,126,126,126,37.37520229531679,44,6.6247977046832105,29.662858964537133,34.92063492063492,5.2577759560977855,1.3459781786501583,0.20856253342475847,0.604868316241502,1,1,1
